# ks-value      p-value 
0.036215880748 0.967701816402 
0.038343417980 0.946214847846 
0.035129172901 0.974476710146 
0.037239946288 0.955772403584 
0.039328501008 0.930522853558 
0.036159583951 0.964114229260 
0.038232009780 0.941673133595 
0.035101612544 0.971300586496 
0.037158126619 0.951595779366 
0.034065343114 0.977404584055 
0.036106159440 0.960327299047 
0.038126256819 0.936961188360 
0.035075444124 0.967917996977 
0.037080418491 0.947235394299 
0.039065343114 0.920317248720 
0.041030517243 0.887537166774 
0.042976234203 0.849657563481 
0.044902781537 0.807676296157 
0.041908480369 0.866166867737 
0.043821440675 0.826020197017 
0.040861459618 0.881671965310 
0.037930077413 0.927051385976 
0.039834573883 0.896138461225 
0.036936156511 0.937986114817 
0.038827247876 0.909541504296 
0.035961077711 0.947814868685 
0.037838928019 0.921866464755 
